"","Open","High","Low","Close","Volume"
"2022-01-03 13:25:00",5707.5,5708,5705.5,5705.5,71
"2022-01-03 13:30:00",5706,5707,5704.5,5705.5,88
"2022-01-03 13:35:00",5705,5706,5703,5703,171
"2022-01-03 13:40:00",5703,5703.5,5699,5699.5,194
"2022-01-03 13:45:00",5699.5,5700,5695,5696.5,297
"2022-01-03 13:50:00",5696.5,5697.5,5692.5,5695.5,241
"2022-01-03 13:55:00",5695,5699.5,5694,5699,144
"2022-01-03 14:00:00",5698,5699,5695,5696,127
"2022-01-03 14:05:00",5696,5697,5691.5,5691.5,158
"2022-01-03 14:10:00",5692,5694,5690.5,5692.5,176
"2022-01-03 14:15:00",5693,5693,5686.5,5690,259
"2022-01-03 14:20:00",5690,5692.5,5689.5,5691,145
"2022-01-03 14:25:00",5691.5,5693.5,5689.5,5693,128
"2022-01-03 14:30:00",5692.5,5695.5,5692,5694.5,88
"2022-01-03 14:35:00",5694,5698,5694,5696.5,117
"2022-01-03 14:40:00",5696.5,5696.5,5692.5,5694.5,133
"2022-01-03 14:45:00",5695.5,5700,5694.5,5698.5,165
"2022-01-03 14:50:00",5698.5,5698.5,5695.5,5696.5,77
"2022-01-03 14:55:00",5696.5,5703,5696.5,5700,451
"2022-01-03 15:00:00",5699.5,5700,5697,5698,112
"2022-01-03 15:05:00",5698,5700,5698,5699.5,56
"2022-01-03 15:10:00",5700,5702,5699,5700.5,176
"2022-01-03 15:15:00",5701,5703.5,5700,5702.5,132
"2022-01-03 15:20:00",5702.5,5703.5,5700,5701,188
"2022-01-03 15:25:00",5701,5702,5700.5,5702,48
"2022-01-03 15:30:00",5702,5707,5702,5706,114
"2022-01-03 15:35:00",5706.5,5706.5,5703.5,5704.5,167
"2022-01-03 15:40:00",5705,5706.5,5704.5,5705.5,103
"2022-01-03 15:45:00",5705,5706.5,5702.5,5703.5,121
"2022-01-03 15:50:00",5704,5704,5699,5699.5,225
"2022-01-03 15:55:00",5699.5,5702,5696,5699,451
"2022-01-03 16:00:00",5698,5703,5698,5701.5,124
"2022-01-03 16:05:00",5701.5,5702.5,5700.5,5701.5,60
"2022-01-03 16:10:00",5701.5,5702,5700,5700.5,93
"2022-01-03 16:15:00",5700.5,5700.5,5698,5699,69
"2022-01-03 16:20:00",5699.5,5700,5699,5699.5,17
"2022-01-03 16:25:00",5699.5,5701,5697.5,5697.5,71
"2022-01-03 16:30:00",5698.5,5699,5697,5697,68
"2022-01-03 16:35:00",5697.5,5698,5696,5696.5,165
"2022-01-03 16:40:00",5696.5,5699,5695.5,5698.5,117
"2022-01-03 16:45:00",5698,5699.5,5698,5698,103
"2022-01-03 16:50:00",5698,5699,5697,5698,108
"2022-01-03 16:55:00",5698.5,5702,5698,5701.5,136
"2022-01-03 17:00:00",5701,5701.5,5699.5,5700.5,56
"2022-01-03 17:05:00",5700.5,5700.5,5697,5698,149
"2022-01-03 17:10:00",5699.5,5700.5,5696.5,5698,48
"2022-01-03 17:15:00",5698,5701.5,5697.5,5701,51
"2022-01-03 17:20:00",5701,5706.5,5700.5,5705.5,139
"2022-01-03 17:25:00",5705,5708.5,5703,5704,217
"2022-01-03 17:30:00",5703,5706.5,5701.5,5704.5,166
"2022-01-03 17:35:00",5704.5,5709,5704.5,5709,229
"2022-01-03 17:40:00",5708.5,5714,5708.5,5712.5,319
"2022-01-03 17:45:00",5712,5713.5,5709,5710.5,118
"2022-01-03 17:50:00",5711.5,5711.5,5709.5,5710,40
"2022-01-03 17:55:00",5711,5717,5711,5713,188
"2022-01-03 18:00:00",5713,5716,5712.5,5715,211
"2022-01-03 18:05:00",5715,5720,5713.5,5720,123
"2022-01-03 18:10:00",5719,5722,5714.5,5721.5,189
"2022-01-03 18:15:00",5722,5725.5,5719.5,5724.5,191
"2022-01-03 18:20:00",5725.5,5727.5,5724.5,5726.5,98
"2022-01-03 18:25:00",5727,5728.5,5723.5,5723.5,129
"2022-01-04 09:00:00",5701.5,5721.5,5701,5715,887
"2022-01-04 09:05:00",5714.5,5720.5,5711,5718,557
"2022-01-04 09:10:00",5718,5718,5703,5707.5,526
"2022-01-04 09:15:00",5707.5,5712.5,5703,5711,228
"2022-01-04 09:20:00",5711,5723,5710.5,5718,248
"2022-01-04 09:25:00",5720,5729,5718.5,5728,305
"2022-01-04 09:30:00",5728.5,5735.5,5728,5732,292
"2022-01-04 09:35:00",5732.5,5733,5727.5,5732,336
"2022-01-04 09:40:00",5732,5737.5,5724,5727.5,536
"2022-01-04 09:45:00",5726.5,5731.5,5724,5726,196
"2022-01-04 09:50:00",5726,5734.5,5724,5732.5,487
"2022-01-04 09:55:00",5733,5736,5726,5726,349
"2022-01-04 10:00:00",5726,5734,5720.5,5722,777
"2022-01-04 10:05:00",5723,5732,5721,5730,266
"2022-01-04 10:10:00",5730,5732,5725,5725,319
"2022-01-04 10:15:00",5724,5736.5,5724,5726,479
"2022-01-04 10:20:00",5727,5730.5,5724,5730.5,240
"2022-01-04 10:25:00",5730,5733,5728.5,5731.5,165
"2022-01-04 10:30:00",5731.5,5740,5731.5,5736.5,565
"2022-01-04 10:35:00",5737,5742.5,5734,5742.5,298
"2022-01-04 10:40:00",5742.5,5744.5,5736,5737,186
"2022-01-04 10:45:00",5737.5,5739,5732.5,5738.5,225
"2022-01-04 10:50:00",5738,5738,5716,5722.5,561
"2022-01-04 10:55:00",5721.5,5730.5,5720,5730,421
"2022-01-04 11:00:00",5730,5742,5726,5738,598
"2022-01-04 11:05:00",5737.5,5741,5733.5,5736.5,243
"2022-01-04 11:10:00",5737.5,5738.5,5732,5735,196
"2022-01-04 11:15:00",5735,5740.5,5735,5738.5,144
"2022-01-04 11:20:00",5738,5745,5737.5,5742,274
"2022-01-04 11:25:00",5742.5,5746.5,5723,5732,854
"2022-01-04 11:30:00",5731.5,5733,5715.5,5718.5,974
"2022-01-04 11:35:00",5718,5722.5,5712,5721.5,683
"2022-01-04 11:40:00",5721,5724,5707.5,5710.5,466
"2022-01-04 11:45:00",5710,5710,5702.5,5706,374
"2022-01-04 11:50:00",5705.5,5708,5699.5,5701.5,430
"2022-01-04 11:55:00",5700.5,5702,5686.5,5689,470
"2022-01-04 12:00:00",5688.5,5698,5678,5684,1300
"2022-01-04 12:05:00",5684.5,5693.5,5680,5693.5,444
"2022-01-04 12:10:00",5693.5,5694,5683,5685.5,352
"2022-01-04 12:15:00",5685,5689,5682.5,5687.5,241
"2022-01-04 12:20:00",5687,5687,5676.5,5678.5,240
"2022-01-04 12:25:00",5679,5680,5673,5679,347
"2022-01-04 12:30:00",5679.5,5686.5,5676,5685,349
"2022-01-04 12:35:00",5685,5687,5679,5679.5,222
"2022-01-04 12:40:00",5679.5,5684,5679.5,5682.5,230
"2022-01-04 12:45:00",5683.5,5693.5,5683.5,5693.5,409
"2022-01-04 12:50:00",5693,5698,5692,5696.5,321
"2022-01-04 12:55:00",5696,5708.5,5696,5705.5,548
"2022-01-04 13:00:00",5705.5,5707.5,5701.5,5703,403
"2022-01-04 13:05:00",5702.5,5710,5702.5,5705.5,294
"2022-01-04 13:10:00",5706,5707,5700,5700.5,207
"2022-01-04 13:15:00",5700.5,5708,5696.5,5707,262
"2022-01-04 13:20:00",5707,5715,5705,5712.5,283
"2022-01-04 13:25:00",5713,5715,5710.5,5711,172
"2022-01-04 13:30:00",5712,5714.5,5710.5,5713.5,123
"2022-01-04 13:35:00",5713.5,5716,5713.5,5715,147
"2022-01-04 13:40:00",5715.5,5718,5713,5717,78
"2022-01-04 13:45:00",5716.5,5716.5,5711,5713,159
"2022-01-04 13:50:00",5713,5713,5708.5,5710,127
"2022-01-04 13:55:00",5710,5714,5709.5,5711.5,78
"2022-01-04 14:00:00",5712,5714,5711,5711.5,76
"2022-01-04 14:05:00",5711.5,5711.5,5707.5,5710,122
"2022-01-04 14:10:00",5710,5711.5,5706.5,5706.5,92
"2022-01-04 14:15:00",5707.5,5707.5,5702.5,5704,145
"2022-01-04 14:20:00",5704,5712,5704,5711,124
"2022-01-04 14:25:00",5711.5,5712,5708.5,5710,62
"2022-01-04 14:30:00",5710.5,5719,5710.5,5715,264
"2022-01-04 14:35:00",5713.5,5714,5711,5712,104
"2022-01-04 14:40:00",5711.5,5712,5709.5,5710.5,98
"2022-01-04 14:45:00",5710,5716,5710,5715.5,177
"2022-01-04 14:50:00",5715,5715.5,5712,5715.5,77
"2022-01-04 14:55:00",5715,5718.5,5712.5,5717.5,212
"2022-01-04 15:00:00",5717.5,5719.5,5714,5714,184
"2022-01-04 15:05:00",5714.5,5714.5,5707.5,5712.5,310
"2022-01-04 15:10:00",5713,5715,5712.5,5712.5,70
"2022-01-04 15:15:00",5712,5721.5,5712,5721,265
"2022-01-04 15:20:00",5720.5,5722.5,5717.5,5719.5,213
"2022-01-04 15:25:00",5720,5721,5718.5,5720.5,79
"2022-01-04 15:30:00",5719.5,5726.5,5719,5726.5,217
"2022-01-04 15:35:00",5726,5727,5721,5721,160
"2022-01-04 15:40:00",5721.5,5725,5721.5,5724,101
"2022-01-04 15:45:00",5724.5,5729.5,5723.5,5729.5,171
"2022-01-04 15:50:00",5729.5,5729.5,5720.5,5725,379
"2022-01-04 15:55:00",5725,5726.5,5721,5722.5,454
"2022-01-04 16:00:00",5723,5726.5,5721.5,5726,224
